Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Month,Year,BranchName,DealerName,Product_Name,Date
BR0006,DLR0168,Ren-M128,12971088,3,DT01236,5,2020,AC Cars Motors,Saab Motors,Renault,5/20/2020 0:00
BR0011,DLR0069,Vol-M256,14181510,3,DT01225,5,2020,Acura Motors,Geo Motors,Volkswagen,5/9/2020 0:00
BR0021,DLR0070,Vol-M257,7738896,1,DT01226,5,2020,Aixam-Mega (including Arola) Motors,Gilbern Motors,Volkswagen,5/10/2020 0:00
BR0031,DLR0071,Vol-M258,10067596,2,DT01227,5,2020,Alfa Romeo Motors,Ginetta Motors,Volkswagen,5/11/2020 0:00
BR0041,DLR0072,Vol-M259,13055810,2,DT01228,5,2020,Alpine Motors,Glas Motors,Volkswagen,5/12/2020 0:00
BR0051,DLR0073,Vol-M260,2224368,1,DT01229,5,2020,Alvis Motors,GMC Motors,Volkswagen,5/13/2020 0:00
BR0061,DLR0074,Nis-M261,11270580,3,DT01230,5,2020,"AMC, Eagle Motors",GTA Spano Motors,Nissan,5/14/2020 0:00
BR0066,DLR0169,Ren-M129,693559,1,DT01237,5,2020,Acura Motors,SAIC Motor Motors,Renault,5/21/2020 0:00
BR0071,DLR0075,Nis-M262,18784710,3,DT01231,5,2020,Anadol Motors,Gumpert Motors,Nissan,5/15/2020 0:00
BR0081,DLR0076,Nis-M263,2354637,3,DT01232,5,2020,Ariel Motors,Healey Motors,Nissan,5/16/2020 0:00
BR0121,DLR0080,Nis-M267,5421046,2,DT01236,5,2020,Aston Martin Motors,Hindustan Motors,Nissan,5/20/2020 0:00
BR0126,DLR0170,Ren-M130,8445560,2,DT01238,5,2020,Aixam-Mega (including Arola) Motors,Saleen Motors,Renault,5/22/2020 0:00
BR0131,DLR0081,Nis-M268,28034733,3,DT01237,5,2020,Audi Motors,Holden Motors,Nissan,5/21/2020 0:00
BR0141,DLR0082,Nis-M269,17522592,2,DT01238,5,2020,Autobianchi Motors,Honda Motors,Nissan,5/22/2020 0:00
BR0151,DLR0083,Nis-M270,25901364,3,DT01239,5,2020,Auto-Union Motors,Honda India Motors,Nissan,5/23/2020 0:00
BR0181,DLR0086,Sko-M273,7915343,1,DT01242,5,2020,Bitter Motors,Hummer Motors,Skoda,5/26/2020 0:00
BR0186,DLR0171,Ren-M131,7078128,1,DT01239,5,2020,Alfa Romeo Motors,Samsung Motors,Renault,5/23/2020 0:00
BR0191,DLR0087,Sko-M274,24183663,3,DT01243,5,2020,BMW Motors,Hyundai Motors,Skoda,5/27/2020 0:00
BR0201,DLR0088,Mit-M275,847952,2,DT01244,5,2020,Bond Motors,"IFA (including Trabant, Wartburg, Barkas) Motors",Mitsubishi,5/28/2020 0:00
BR0211,DLR0089,Mit-M276,2887860,1,DT01245,5,2020,Borgward (including Goliath and Lloyd) Motors,Infiniti Motors,Mitsubishi,5/29/2020 0:00
BR0221,DLR0090,Mit-M277,24243636,3,DT01246,5,2020,Bristol Motors,,Mitsubishi,5/30/2020 0:00
BR0306,DLR0173,Toy-M133,12612492,3,DT01241,5,2020,Alvis Motors,Santa Matilde Motors,Toyota,5/25/2020 0:00
BR0426,DLR0175,Vol-M135,7718804,1,DT01243,5,2020,Anadol Motors,Saturn Motors,Volkswagen,5/27/2020 0:00
BR0486,DLR0176,Vol-M136,9950264,1,DT01244,5,2020,Ariel Motors,Scion Motors,Volkswagen,5/28/2020 0:00
BR0546,DLR0177,Mar-M137,11543998,2,DT01245,5,2020,ARO Motors,Seat Motors,Maruti Suzuki,5/29/2020 0:00
BR0606,DLR0178,Mar-M138,14029425,3,DT01246,5,2020,Artega Motors,Shelby SuperCars Motors,Maruti Suzuki,5/30/2020 0:00
BR0666,DLR0179,Mar-M139,16170344,2,DT01247,5,2020,Asia Motors Motors,Simca Motors,Maruti Suzuki,5/31/2020 0:00
BR1075,DLR0028,Nis-M265,946626,1,DT01096,1,2020,Lexus Motors,Buick Motors,Nissan,1/1/2020 0:00
BR1105,DLR0031,Nis-M268,2349414,3,DT01099,1,2020,Lotus Motors,Caterham Motors,Nissan,1/4/2020 0:00
BR1125,DLR0033,Nis-M270,5501066,2,DT01101,1,2020,LuAZ Motors,Chevrolet Motors,Nissan,1/6/2020 0:00
BR1135,DLR0034,Sko-M271,15299630,2,DT01102,1,2020,Lynx Motors,Chevrolet India Motors,Skoda,1/7/2020 0:00
BR1145,DLR0035,Sko-M272,573260,1,DT01103,1,2020,Mahindra Motors,Chrysler Motors,Skoda,1/8/2020 0:00
BR1155,DLR0036,Sko-M273,6991308,2,DT01104,1,2020,Marcos Motors,Chrysler Europe Motors,Skoda,1/9/2020 0:00
BR1165,DLR0037,Sko-M274,4594208,1,DT01105,1,2020,Marlin Motors,Citroën Motors,Skoda,1/10/2020 0:00
BR1175,DLR0038,Mit-M275,6379479,3,DT01106,1,2020,Maruti Motors,Cizeta-Moroder Motors,Mitsubishi,1/11/2020 0:00
BR1195,DLR0040,Mit-M277,12731434,2,DT01108,1,2020,Mastretta Motors,"Daewoo, Saehan, Chevrolet Korea Motors",Mitsubishi,1/13/2020 0:00
BR1200,DLR0207,Ren-M127,5217794,1,DT01096,1,2020,Mastretta Motors,Westfield Motors,Renault,1/1/2020 0:00
BR1205,DLR0041,BMW-M1,20119176,3,DT01109,1,2020,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",DAF Motors,BMW,1/14/2020 0:00
BR1210,DLR0208,Ren-M128,9250976,2,DT01097,1,2020,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",Wiesmann Motors,Renault,1/2/2020 0:00
BR1215,DLR0042,BMW-M2,12564672,3,DT01110,1,2020,Mazda Motors,Daihatsu Motors,BMW,1/15/2020 0:00
BR1220,DLR0209,Ren-M129,3678913,1,DT01098,1,2020,Mazda Motors,Zastava Motors,Renault,1/3/2020 0:00
BR1230,DLR0210,Ren-M130,16850778,2,DT01099,1,2020,Mazzanti Motors,ZAZ Motors,Renault,1/4/2020 0:00
BR1235,DLR0044,BMW-M4,7034814,2,DT01112,1,2020,McLaren Motors,,BMW,1/17/2020 0:00
BR1240,DLR0211,Ren-M131,2717264,1,DT01100,1,2020,McLaren Motors,ZIL Motors,Renault,1/5/2020 0:00
BR1245,DLR0045,BMW-M5,3141089,1,DT01113,1,2020,Mercedes-Benz (including Maybach) Motors,Delahaye Motors,BMW,1/18/2020 0:00
BR1255,DLR0046,Mer-M6,4815214,2,DT01114,1,2020,Mercury Motors,DeLorean Motors,Mercedes-Benz,1/19/2020 0:00
BR1270,DLR0214,Toy-M134,22982112,3,DT01103,1,2020,Merkur Motors,Horch Motors,Toyota,1/8/2020 0:00
BR1275,DLR0048,Mer-M8,1681622,1,DT01116,1,2020,Messerschmitt Motors,De Tomaso Motors,Mercedes-Benz,1/21/2020 0:00
BR1290,DLR0216,Vol-M136,19641387,3,DT01105,1,2020,Mia Motors,Maybach  Motors,Volkswagen,1/10/2020 0:00
BR1295,DLR0050,Jee-M10,14558850,2,DT01118,1,2020,Micro Motors,Donkervoort Motors,Jeep,1/23/2020 0:00
BR1300,DLR0217,Mar-M137,8749140,3,DT01106,1,2020,Micro Motors,Izh  Motors,Maruti Suzuki,1/11/2020 0:00
BR1305,DLR0051,Jee-M11,4375707,3,DT01119,1,2020,Mini Motors,Edsel Motors,Jeep,1/24/2020 0:00
BR1310,DLR0218,Mar-M138,1791030,1,DT01107,1,2020,Mini Motors,Lagonda  Motors,Maruti Suzuki,1/12/2020 0:00
BR1315,DLR0052,Jee-M12,6981696,3,DT01120,1,2020,Mitsubishi Motors,e.GO Mobile Motors,Jeep,1/25/2020 0:00
BR1320,DLR0219,Mar-M139,15720604,2,DT01108,1,2020,Mitsubishi Motors,MG  Motors,Maruti Suzuki,1/13/2020 0:00
