Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Month,Year,BranchName,DealerName,Product_Name,Date,ReturnFlag
BR1625,DLR0083,Che-M43,5608623,3,DT01151,2,2020,Ranger Motors,Honda India Motors,Chevrolet,2/25/2020 0:00,1
BR1630,DLR0250,Mah-M170,4796736,1,DT01139,2,2020,Ranger Motors,Aixam-Mega (including Arola) Motors,Mahindra,2/13/2020 0:00,1
BR1635,DLR0084,Che-M44,7473819,3,DT01152,2,2020,Reliant Motors,Hudson Motors,Chevrolet,2/26/2020 0:00,1
BR1640,DLR0251,Mah-M171,19794014,2,DT01140,2,2020,Reliant Motors,Alfa Romeo Motors,Mahindra,2/14/2020 0:00,1
BR1655,DLR0086,Che-M46,15077118,2,DT01154,2,2020,Rivian Motors,Hummer Motors,Chevrolet,2/28/2020 0:00,1
BR1660,DLR0253,Mah-M173,1134198,2,DT01142,2,2020,Rivian Motors,Alvis Motors,Mahindra,2/16/2020 0:00,1
BR1665,DLR0087,Che-M47,7622398,1,DT01155,2,2020,Rolls-Royce Motors,Hyundai Motors,Chevrolet,2/29/2020 0:00,1
BR1670,DLR0254,Mah-M174,6473726,1,DT01143,2,2020,Rolls-Royce Motors,"AMC, Eagle Motors",Mahindra,2/17/2020 0:00,1
BR1680,DLR0255,Mah-M175,10287849,3,DT01144,2,2020,Saab Motors,Anadol Motors,Mahindra,2/18/2020 0:00,1
BR1685,DLR0089,Che-M49,2232010,1,DT01157,3,2020,SAIC Motor Motors,Infiniti Motors,Chevrolet,3/2/2020 0:00,1
BR1690,DLR0256,Mah-M176,9633912,2,DT01145,2,2020,SAIC Motor Motors,Ariel Motors,Mahindra,2/19/2020 0:00,1
BR1700,DLR0257,Mah-M177,3198540,3,DT01146,2,2020,Saleen Motors,ARO Motors,Mahindra,2/20/2020 0:00,1
BR1710,DLR0258,Mah-M178,8638572,2,DT01147,2,2020,Samsung Motors,,Mahindra,2/21/2020 0:00,1
BR1715,DLR0092,GMC-M52,10283534,2,DT01160,3,2020,San Motors,Isdera Motors,GMC,3/5/2020 0:00,1
BR1720,DLR0259,Tat-M179,2656204,2,DT01148,2,2020,San Motors,Asia Motors Motors,Tata,2/22/2020 0:00,1
BR1725,DLR0093,GMC-M53,3508984,1,DT01161,3,2020,Santa Matilde Motors,Iso Motors,GMC,3/6/2020 0:00,1
BR1735,DLR0094,GMC-M54,8238429,3,DT01162,3,2020,Santana Motors,Isotta Fraschini Motors,GMC,3/7/2020 0:00,1
BR1745,DLR0095,GMC-M55,19930602,2,DT01163,3,2020,Saturn Motors,Isuzu Motors,GMC,3/8/2020 0:00,1
BR1750,DLR0262,Tat-M182,10592974,2,DT01151,2,2020,Saturn Motors,Autobianchi Motors,Tata,2/25/2020 0:00,1
BR1755,DLR0096,GMC-M56,19774090,2,DT01164,3,2020,Scion Motors,Iveco Motors,GMC,3/9/2020 0:00,1
BR1765,DLR0097,GMC-M57,16250655,3,DT01165,3,2020,Seat Motors,Jaguar Motors,GMC,3/10/2020 0:00,1
BR1770,DLR0264,Tat-M184,8789076,2,DT01153,2,2020,Seat Motors,Auverland Motors,Tata,2/27/2020 0:00,1
BR1780,DLR0265,Tat-M185,5907291,1,DT01154,2,2020,Shelby SuperCars Motors,Bentley Motors,Tata,2/28/2020 0:00,1
BR1785,DLR0099,Acu-M59,8656704,3,DT01167,3,2020,Simca Motors,Jensen Motors,Acura,3/12/2020 0:00,1
BR1795,DLR0100,Acu-M60,3338625,3,DT01168,3,2020,Simca do Brasil Motors,JPX Motors,Acura,3/13/2020 0:00,1
BR1800,DLR0267,Tat-M187,6558027,3,DT01156,3,2020,Simca do Brasil Motors,BMW Motors,Tata,3/1/2020 0:00,1
BR1805,DLR0101,Acu-M61,6868940,1,DT01169,3,2020,Singer Motors,Kia Motors,Acura,3/14/2020 0:00,1
BR1815,DLR0102,Acu-M62,9592556,1,DT01170,3,2020,Skoda Motors,Koenigsegg Motors,Acura,3/15/2020 0:00,1
BR1820,DLR0002,Tat-M189,2847247,1,DT01158,3,2020,Skoda Motors,Acura Motors,Tata,3/3/2020 0:00,1
BR1830,DLR0003,Tat-M190,8462551,1,DT01159,3,2020,Smart Motors,Aixam-Mega (including Arola) Motors,Tata,3/4/2020 0:00,1
BR1835,DLR0104,Hon-M64,18031704,2,DT01172,3,2020,Spyker Motors,Lada Motors,Honda,3/17/2020 0:00,1
BR1840,DLR0004,Tat-M191,14824880,2,DT01160,3,2020,Spyker Motors,Alfa Romeo Motors,Tata,3/5/2020 0:00,1
BR1845,DLR0105,Hon-M65,19645278,3,DT01173,3,2020,SsangYong Motors,Lamborghini Motors,Honda,3/18/2020 0:00,1
BR1855,DLR0106,Hon-M66,12924729,3,DT01174,3,2020,Standard-Triumph Motors,Lancia Motors,Honda,3/19/2020 0:00,1
BR1860,DLR0006,Tat-M193,19782228,3,DT01162,3,2020,Standard-Triumph Motors,Alvis Motors,Tata,3/7/2020 0:00,1
BR1865,DLR0107,Hon-M67,17791749,3,DT01175,3,2020,Studebaker Motors,Land Rover Motors,Honda,3/20/2020 0:00,1
BR1875,DLR0108,Hon-M68,2569118,2,DT01176,3,2020,Subaru Motors,Lexus Motors,Honda,3/21/2020 0:00,1
BR1880,DLR0008,Toy-M195,9541679,1,DT01164,3,2020,Subaru Motors,Anadol Motors,Toyota,3/9/2020 0:00,1
BR1895,DLR0110,Hon-M70,13877574,2,DT01178,3,2020,Suzuki Motors,Lincoln Motors,Honda,3/23/2020 0:00,1
BR1905,DLR0111,Hon-M71,26277687,3,DT01179,3,2020,Tata Motors,Lotus Motors,Honda,3/24/2020 0:00,1
BR1910,DLR0011,Toy-M198,9387408,2,DT01167,3,2020,Tata Motors,Artega Motors,Toyota,3/12/2020 0:00,1
BR1915,DLR0112,Hyu-M72,2145815,1,DT01180,3,2020,Tatra Motors,LTI Motors,Hyundai,3/25/2020 0:00,1
BR1920,DLR0012,Toy-M199,8137212,2,DT01168,3,2020,Tatra Motors,Asia Motors Motors,Toyota,3/13/2020 0:00,1
BR1925,DLR0113,Hyu-M73,7259016,2,DT01181,3,2020,Tazzari Motors,LuAZ Motors,Hyundai,3/26/2020 0:00,1
